Feature,Block,House,House_rom,Room,Block-House,Level_ft,Period_cited_in_text,Est_start_year,Est_end_year,Level_context,Size_notes,Materials_notes,Text,Page_num,Notes_internal
Aperture,10,04,IV,"74, 82",#NAME?,-18.7,Intermediate III,2600,2699,Average,"3 ft. 8 ins. wide (PI. XL, c)",,"There are three very curious apertures in the southern wall of the court and the room beyond, the one in the courtyard being 3 ft. 11 ins. wide and the other two 3 ft. 8 ins. wide (PI. XL, c). The floors of these apertures average 18-7 ft. below datum and they Avere presumably made at the latter end of the Intermediate III Phase. The jambs of the two farthest Avest are slightly recessed on the southern side. They were bricked up with a thin layer of masonry and used as niches in the Intermediate II Phase.",109,
Pavement,10,01,I,02,#NAME?,-16.7,Intermediate II,2500,2599,Exact Measure,,,"A nearly square patch of pavement (2), 5 ft. 1 in., E.-W., by 4 ft. 5 ins., N.-S., in the south-western corner of this house was enclosed on the north and east by a w all, one brick in thickness, which had been destroyed down to the brick edging, 5 ins. high, that bordered the pavement on all four sides.^ (The level of this pavement was 16-7 ft. below datum.)",110,
Pavement,10,01,I,04,#NAME?,-17.8,Intermediate II,2500,2599,Average,,undulated,"This small ablution place overlay another and larger extent of paving with a layer of 7-5ins. of debris between the two. The lower pavement seems to have covered the whole of room 4, but only the western part of it remained, and undulated badly owing to subsidences here and there.^ 
(^Its average level was 17.8 ft. below datum.)
A portion of this pavement is seen just beyond the upper pavement in PI. XLI, c, and it was drained by the horizontal outfall still to be seen on the right of the chute in the photograph.  ",110,
Doorsill,10,01,I,04,#NAME?,-17.7,Intermediate II,2500,2599,Exact Measure,,,"The E.-W. measurement of room4 we shall never know; its width N.-S. was 19 ft. and there were tw'O or more chambers (3, 5, 8) along its northern side, the most complete of which was entered by a doorway, 3 ft. 4 ins. wide, whose sill was 17.7 ft. below datum.",110,
Stair Tread,10,01,I,02,#NAME?,-7.2,Intermediate II,2500,2599,Relational Remark, 2 ft. 8 ins,,"On the eastern side of the ablution pavement (2), three treads remained of a little flight of steps, 2 ft. 8 ins. wide, each 7-5 ins. broad by 8 ins. high. of the lowest step was 9 • 5 ins. above the pavement and this stairway was probably a rather later addition whose purpose is somewhat obscure. Possibly the floor was raised later in the same period; for though we found no pavement above the one illustrated, it might have been removed at the time that so much damage was done to the rest of the house. ",110,check data -- relational remark interpreted correctly?
Pavement,10,01,I,08,#NAME?,-17.2,Intermediate II,2500,2599,General Measure,,,"There are indications that the small badly des-
troyed room (8) also was paved at the level 17-2 ft. below datum.
",110,
Foundation,10,02,II,24,#NAME?,-18.3,Intermediate II,2500,2599,General Measure,,alternate courses of burnt and unburnt bricks,The foundation of the northern wall of room 24 descends as low as 18-3 ft. below datum and was constructed of alternate courses of burnt and unburnt bricks which all appear as headers on either face of the wall. The burnt brick footing above this foundation was 15-5 ft. below datum and marks the level of a pavement which had been removed.,111,
Footing,10,02,II,24,#NAME?,-15.5,Intermediate II,2500,2599,General Measure,,burnt brick,The burnt brick footing above this foundation was 15-5 ft. below datum and marks the level of a pavement which had been removed.,111,
Pavement,10,02,II,26,#NAME?,-16,Intermediate II,2500,2599,General Measure,,,"The well-room (26) in this house was about the same size as in the previous period, but was now* entered from the west (PI. XLI, f). The southern jamb of the doorway on this side is quite clear, but its width could not be determined owing to the bad condition of the wall. It is also uncertain whether or not there was a second doorway in this wall. The pavement seen in both plan and photo- graph was 16 ft. below datum and was drained through a small hole in the western wall of the room.",111,
Foundation,10,03,III,"65, 67",#NAME?,-17.9,Intermediate II,2500,2599,General Measure,,,"Despite the depth to which the founda- tions of the partition walls descend, — 17-9 ft., I think the actual explanation is thatthisspacewasnotencloseduntiltheIntermediateIPhase; thentherewere two doorways, as will be seen in PI. XVIII, into the small enclosure, which was probably roofed over and used as quarters for a watchman to guard the house which still had lanes on three sides of it.",111,
Doorsill,10,04,IV,,#NAME?,-16.5,Intermediate II,2500,2599,General Measure,,,At the same time the sill of the doorway between the court- yard and the house was raised to 16-5 ft. below datum.,111,
Pavement,10,04,IV,,#NAME?,-12.7,Intermediate II,2500,2599,Relational Remark,,broken pavement,"The very curious mass of masonry round the well was raised, broken as well
 as whole bricks being used in its construction (Pis. XXIV, b
 to the west of it. The level to which ‘this masonry reached was 15-2 ft. below datum, and the surface of a broken pavement above it was 2 • 5 ins. higher.
 XL, a). Its dimensions were some 11 ft. by 10 ft. 3 ins. and it was bonded into the house-wall
  The purpose of this mass of masonry presents a problem ; possibly it was built with 
the intention of preventing the infiltration of sewage into the well.",111,
Doorsill,10,03,III,,#NAME?,-12.7,Intermediate I,2400,2499,Average,,,"There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The  levels of the doorsills averaged -12.7 ft., the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum.",112,
Doorsill,10,03,III,,#NAME?,-12.5,Intermediate I,2400,2499,Exact Measure,,,"There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The  levels of the doorsills averaged -12.7 ft., the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum.",112,
Doorsill,10,03,III,,#NAME?,-13.2,Intermediate I,2400,2499,Exact Measure,,,"There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The  levels of the doorsills averaged -12.7 ft., the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum.",112,
Stair Tread,10,04,IV,,#NAME?,-12.7,Intermediate I,2400,2499,Exact Measure (Lowest),3 ft 8 ins. wide with treads 11 ins. broad and 8 ins. high,,"The little staircases in the lanes alone the southern side of this house and also
running southward from it rested on rubble. They evidently gave access to the  roof or upper storey of a house that was l)uilt right over the^former lanes, an excellent example of encroachment. The flight of steps in Fore Lane was 3 ft 8 ins. wide with treads 11 ins. broad and 8 ins. high, and it stood well away from the southern wall of the lane.‘  (* Its lowe.st step was 12-7 ft. below datum.)",112,
Entrance,10,03,III,,#NAME?,,Late III,,,,,,"The house was entered as through- out the Intermediate Period at the S. W. corner.  AU the other unexplained and apparently unnecessary doorways had been wholly or partially bricked up, and in the latter case evidently served as niches or cupboards.",113,check previous period text to see if can determine level
Pavement,10,04,IV,,#NAME?,-9.9,Late III,,,Exact Measure,square,,"Of House IV again, practically nothing was found except the well and some remains of the outer walls. A small square pavement at the level — 9-9 ft. had unaccountably escaped the general destruction, and its original edging still remained along two of its sides.",113,
Doorsill,10,01,I,,#NAME?,-4.8,Late  II and I (b and a),2000,2299,Exact Measure,,,"House I, which had grown considerably in size by encroachment on Fore Lane, was entered from the north by a doorway, 3 ft. 4 ins. wide, whose well pre- served jambs still stood 1 ft. 4 ins. above the sill.- 
( The level of this door-sill was 4-8 ft. below datum.)",113,may want to check level against rest of text on this House
Doorsill,10,01,I,"10, 11",#NAME?,-6.9,Late II (?),2200,2299,Exact Measure,,,"Room 11 at first communicated with room 10 by a door- way, 4 ft. 7 ins. wide, but this was bricked up in the Late Ib Period.  (The sill was 6*9 ft. below datum.)",113,may want to check level against rest of text on this House
Doorsill,10,02,II,,#NAME?,-5.3,Late  II and I (b and a),2000,2299,Exact Measure,,,"The entrance door from the courtyard to the east was 3ft. 9ins.wide.^ 
(^Its sill was — 5-3 ft.)
A slightly narrower door gave access to the well-room from the rest of the house. ",114,
Doorsill,10,03,III,,#NAME?,-6.8,Late  II and I (b and a),2000,2299,Exact Measure,,,"
western wall of House I apparently no longer existed, and a new doorway was
made in the raised eastern wall of House III, whose sill was 6 8 ft. below datum.",114,
Doorsill,10,03,III,,#NAME?,-4.9,Late Ib,,,Exact Measure,,,"In the Late Ib Phase, another dooi*way with its sill 4-9 ft. below datum was made from House III, it was, in fact, immediately above the door of the former lock-up shop ——into room 15 of House VII, Block 9. This latter may still have been a lane, though it is more probable that it had already been built over.",115,NOTE overlaps with Block 09 as doorway is between
Wall Feature (ledge),10,03,III,"55, 57, 59",#NAME?,-7.6,Late  II and I (b and a),2000,2299,Relational Remark,,,"There is reason to think that there was a door in the northern wall of room 56 of House III, and another in the southern wall of the same chamber or in the recess 57, giving access to the court 67 through the passage 55, 59. Along all four sides of the court, a ledge at the level — -7.6 indicates the difference in thickness between the new-built walls and the thicker earlier walls that now served as foundations. ",115,less clear in text -- should be checked
Pavement,10,03,III,67,#NAME?,-8.1,Late  II and I (b and a),2000,2299,Exact Measure,,,The fragment of a pavement along the eastern side of the court 67 lay 8*1ft. below datum. The mud-plastered walls of the small room 63 show evidence of having been burnt at some date before the room was shut off from the rest of the house.,115,
Doorsill,10,04,IV,"81, 83, 84",#NAME?,-6.9,Late II,2200,2299,Average,,"eastern jamb of the doorway leading from it into room 83 had a rebate, 7x9 ins","The large new House IV was apparently entered from the south by a door- way into room 84, the apparent doorway on the northern side of the house being in reality a break in the wall. The central space (81), which measured 20 ft. 6 ins. by 15 ft. 3 ins., was probably the new courtyard in place of the one built over. The eastern jamb of the doorway leading from it into room 83 had a rebate, 7x9 ins., a very unusual feature in the doorways of Mohenjo-daro. The sills of all the doors from the courtyard were some 6-9 ft. below datum and, therefore, of Late II date.
",115,
Pavement,10,04,IV,78,#NAME?,-5.1,Late Ib,,,Exact Measure (Highest),,cut bricks; sloped,"In the Ib Phase, room 78 served as a bathroom. Its well-laid pavement of cut bricks, 10x5x2 ins. in size, sloped towards the south-eastern corner, where the water ran out through an aperture in the wall, 1 ft. 7 ins. wide.^  (^The highest part of the pavement was 5*1 ft. below datum.)",115,
Pavement,10,04,IV,"74, 87, 88",#NAME?,-8.6,Late II,2200,2299,Exact Measure,,neatly laid,"The very long chamber 74, 87, 88 was 45 ft. 3 ins. in length by 7 ft. 9 ins. wide. In it the well now reached to the level 8*4 ft. below datum with a coping built of wedge-shaped bricks.- Round it there was a neatly laid pavement whose level,- 8 6ft., dates it to the LateII",115,
Stair Tread,10,04,IV,72,#NAME?,-7,Late II,2200,2299,Exact Measure (Lowest),2 ft. 10 ins. wide,,"In the passage 72, two treads remained of a stairway, 2 ft. 10 ins. wide, each
7 ins. broad and 10 ins. high. The level of the lowest step was — 7 ft which dates this staircase to the Late II Phase.",,
