,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
57,,7,00,"77, 81",-19.5,,Pavement,,"To the east of the well was a carefully laid pavement at the same level as the door-sills, ",Floor Features,Intermediate III,Average,,Water Platforms,"To the east of the well<br>was a carefully laid pavement at<br>the same level as the door-sills,<br>"
58,,7,00,,-18.0,,Pavement,,"The little patch of paving (79) at the level — 18 ft. is all that remains of either a bathing- place or a privy which, as so often at the present day, was built at a slightly higher level than the rest of the house to allow of proper drainage. ",Floor Features,Intermediate III,General Measure,,Water Platforms,"The little patch of paving (79)<br>at the level — 18 ft.<br>is all that remains of either<br>a bathing- place or a privy<br>which, as so often at the<br>present day, was built at a<br>slightly higher level than the rest<br>of the house to allow of<br>proper drainage. "
59,,7,00,,-21.8,,Stair Tread,,"In the Intermediate III Phase the doorway, 3 ft. 5 ins. wide, of the Early Period was filled in by a flight of three steps, for which the original sill^ served as the lowest tread, the uppermost tread being 21*8 ft. below datum and at this level there was a pavement of burnt bricks, lL65x5-65x2-9 ins. in size. ",Floor Features,Intermediate III,Exact Measure,,,"In the Intermediate III Phase the<br>doorway, 3 ft. 5 ins. wide,<br>of the Early Period was filled<br>in by a flight of three<br>steps, for which the original sill^<br>served as the lowest tread, the<br>uppermost tread being 21*8 ft. below<br>datum and at this level there<br>was a pavement of burnt bricks,<br>lL65x5-65x2-9 ins. in size. "
60,,7,00,19,-16.4,,Doorsill,,"A doorway in the western wall of room 19 is of the same width as the northern door of the wel-room, but its sill is 10 ins. higher.",Floor Features,Unclear Period in Text,Relational Remark (approx level),,,"A doorway in the western wall<br>of room 19 is of the<br>same width as the northern door<br>of the wel-room, but its sill<br>is 10 ins. higher."
61,,7,02,,-16.7,,Foundation,,"House II had again been destroyed down to its foundations which rested on earlier masonry of the Intermediate II Phase, and no doorways could be located. The arrangement of the rooms was practically unaltered. The southernwalloftheannexeIXwaswellpreserved; indeedtherestorationofthis building in the Intermediate II plan follows this alignment, for it seems likely that the lower part of the foundations of this wall which reaches down to the level 16-7 ft. below datum was really of that date. The doorway in this wall which stood an average of 3 ft. high was 3 ft. 4 ins. wide, but the bricks of the sill had disappeared.",Floor Features,,Relational Remark,,,"House II had again been destroyed<br>down to its foundations which rested<br>on earlier masonry of the Intermediate<br>II Phase, and no doorways could<br>be located. The arrangement of the<br>rooms was practically unaltered. The southernwalloftheannexeIXwaswellpreserved;<br>indeedtherestorationofthis building in the Intermediate II<br>plan follows this alignment, for it<br>seems likely that the lower part<br>of the foundations of this wall<br>which reaches down to the level<br>16-7 ft. below datum was really<br>of that date. The doorway in<br>this wall which stood an average<br>of 3 ft. high was 3<br>ft. 4 ins. wide, but the<br>bricks of the sill had disappeared."
62,,9,01,,-4.8,,Doorsill,,"House I, which had grown considerably in size by encroachment on Fore Lane, was entered from the north by a doorway, 3 ft. 4 ins. wide, whose well pre- served jambs still stood 1 ft. 4 ins. above the sill.- ( The level of this door-sill was 4-8 ft. below datum.)",Floor Features,Late  II and I (b and a),Exact Measure,,,"House I, which had grown considerably<br>in size by encroachment on Fore<br>Lane, was entered from the north<br>by a doorway, 3 ft. 4<br>ins. wide, whose well pre- served<br>jambs still stood 1 ft. 4<br>ins. above the sill.- ( The<br>level of this door-sill was 4-8<br>ft. below datum.)"
63,,9,01,24,-5.6,,Entrance,,"In all probability court 21, 26, in which were two kilns, belonged to House II, for with the possible exception of the blocked-up doorway in room 24 of House I there was no entrance into the court from any other house.  (This door was bricked up in the Late la Phase; its. sill was at the level -.5-6 ft.)",Floor Features,Late Ia,Exact Measure,,,"In all probability court 21, 26,<br>in which were two kilns, belonged<br>to House II, for with the<br>possible exception of the blocked-up doorway<br>in room 24 of House I<br>there was no entrance into the<br>court from any other house. <br>(This door was bricked up in<br>the Late la Phase; its. sill<br>was at the level -.5-6 ft.)"
64,,9,01,11,-6.9,,Doorsill,,"Room 11 at first communicated with room 10 by a door- way, 4 ft. 7 ins. wide, but this was bricked up in the Late Ib Period. (The sill was 6*9 ft. below datum.)",Floor Features,Late II [?],Exact Measure,,,"Room 11 at first communicated with<br>room 10 by a door- way,<br>4 ft. 7 ins. wide, but<br>this was bricked up in the<br>Late Ib Period. (The sill was<br>6*9 ft. below datum.)"
65,,9,01,,-10.7,,Pavement,,The House I of this time was badly wrecked before being rebuilt and only a few walls and a pavement were left. This pavement is 10-7 ft. below datum and a pottery jar sunk in one corner served to drain it.,Floor Features,Late III,Exact Measure,,Water Platforms,The House I of this time<br>was badly wrecked before being rebuilt<br>and only a few walls and<br>a pavement were left. This pavement<br>is 10-7 ft. below datum and<br>a pottery jar sunk in one<br>corner served to drain it.
66,,9,01,"45, 47",-7.4,,Pavement,,"Only at the south end of the corridor-like apartment 45, 47 does a pavement remain at the Late II level, — 7-4 ft. This may have been a washing place, as it slopes down to a jar set beneath its south-eastern corner. ",Floor Features,Late  II,Exact Measure,,Water Platforms,"Only at the south end of<br>the corridor-like apartment 45, 47 does<br>a pavement remain at the Late<br>II level, — 7-4 ft. This<br>may have been a washing place,<br>as it slopes down to a<br>jar set beneath its south-eastern corner.<br>"
67,,9,01,24,-3.2,,Pavement,,"Houses I, X and XII seem to have been aequired by a single owner, for theycommunicatethroughout. Indeed,theyappeartohavebeenconvertedinto a very fine building, which was probably inhabited by four or five interrelated families, as there are several of the paved floors that appear to denote a dwelling-
house. The one south of room 24 at the level - 3-2 ft. was carefully made of cut bricks.",Floor Features,Late  II [?],Exact Measure,carefully made of cut bricks,Water Platforms,"Houses I, X and XII seem<br>to have been aequired by a<br>single owner, for theycommunicatethroughout. Indeed,theyappeartohavebeenconvertedinto a<br>very fine building, which was probably<br>inhabited by four or five interrelated<br>families, as there are several of<br>the paved floors that appear to<br>denote a dwelling-
house. The one south<br>of room 24 at the level<br>- 3-2 ft. was carefully made<br>of cut bricks."
68,,9,01,45,-3.9,,Doorsill,,"In the Late la Phase, section I of this house was clearly still
in use, for the door-sill into the well-room from the west was raised again to the
 level - 3.9 ft",Floor Features,Late Ia,Exact Measure,,,"In the Late la Phase, section<br>I of this house was clearly<br>still
in use, for the door-sill into<br>the well-room from the west was<br>raised again to the
 level -<br>3.9 ft"
69,,9,01,,-6.0,,Pavement,,"In the Late Ib Phase, the steening of this well was raised again to the level — 4-2 ft., and a very carefully laid pavement (PI. XLIII, f) round it at the level — 6 ft. bears ample testimony to the constant use of the well",Floor Features,Late Ib,Exact Measure,carefully laid,Water Platforms,"In the Late Ib Phase, the<br>steening of this well was raised<br>again to the level — 4-2<br>ft., and a very carefully laid<br>pavement (PI. XLIII, f) round it<br>at the level — 6 ft.<br>bears ample testimony to the constant<br>use of the well"
70,,9,01,45,-4.1,,Pavement,,"At this period, room 45 to the west of the well-room also communicated with it by a narrow doorway in a thin partition wall. The floor of this room was paved with bricks mostly set on edge (PI. XLIII, e) to form a washing-place which sloped down on three sides towards a square depression in the floor.^ (1 The highest part of the pavement was 4- 1 ft. below datum.)
This
depression was drained beneath the northern wall of the room, which unfortunately,
was entirely removed by brick-robbers at a later date, into a channel that ran
ultimately into the drain along the southern side of Central Street (PI. XIII, C).
This washing-room, for such it must have been, also communicated with the
vestibule 52 through which most of the living-rooms seem to have been reached
from the court.",Floor Features,Late Ib,Exact Measure (Highest),,Water Platforms,"At this period, room 45 to<br>the west of the well-room also<br>communicated with it by a narrow<br>doorway in a thin partition wall.<br>The floor of this room was<br>paved with bricks mostly set on<br>edge (PI. XLIII, e) to form<br>a washing-place which sloped down on<br>three sides towards a square depression<br>in the floor.^ (1 The highest<br>part of the pavement was 4-<br>1 ft. below datum.)
This
depression was drained<br>beneath the northern wall of the<br>room, which unfortunately,
was entirely removed by<br>brick-robbers at a later date, into<br>a channel that ran
ultimately into the<br>drain along the southern side of<br>Central Street (PI. XIII, C).
This washing-room,<br>for such it must have been,<br>also communicated with the
vestibule 52 through<br>which most of the living-rooms seem<br>to have been reached
from the court."
71,,9,02,"26, 27",-22.0,,Entrance,,"The well-room (26, 27) is somewhat irregular in shape and averages 15 ft. 6 ins. long by 4 ft. 8 ins. wide at its northern end, with the well practically in the middle. Only the northern half of the room was paved at this period. It is difficult to estimate how high the coping stood above the pavement, but it would evidently have been difficidt to pass from one end of the room to the other, and each end therefore had its own door, 2 ft. wide, in the eastern wall.^ (
^ The sills of these doors were 22 ft. below datum.)",Floor Features,Intermediate III,General Measure,,,"The well-room (26, 27) is somewhat<br>irregular in shape and averages 15<br>ft. 6 ins. long by 4<br>ft. 8 ins. wide at its<br>northern end, with the well practically<br>in the middle. Only the northern<br>half of the room was paved<br>at this period. It is difficult<br>to estimate how high the coping<br>stood above the pavement, but it<br>would evidently have been difficidt to<br>pass from one end of the<br>room to the other, and each<br>end therefore had its own door,<br>2 ft. wide, in the eastern<br>wall.^ (
^ The sills of these<br>doors were 22 ft. below datum.)"
72,,9,02,,-5.3,,Doorsill,,The entrance door from the courtyard to the east was 3ft. 9ins. wide.^ (^Its sill was — 5-3 ft.) A slightly narrower door gave access to the well-room from the rest of the house.,Floor Features,Late  II and I (b and a),Exact Measure,,,The entrance door from the courtyard<br>to the east was 3ft. 9ins.<br>wide.^ (^Its sill was — 5-3<br>ft.) A slightly narrower door gave<br>access to the well-room from the<br>rest of the house.
73,,9,02,"4, 5, 7 ",-10.9,,Doorsill,,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",Floor Features,Late III,"Relational Remark (""about the same"")",inner doorsills,,"A large house (II and IV)<br>to the west of House I<br>was apparently entered from the south<br>by a doorway 4 ft. wide.^<br> (^ 10-9 ft. below datum,<br>The sills of the inner doors<br>are at about the same level<br>and average nearly 4 ft. wide.)<br> "
74,,9,02,"4, 5, 7 ",-10.9,,Entrance,,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",Floor Features,Late III,Exact Measure,,,"A large house (II and IV)<br>to the west of House I<br>was apparently entered from the south<br>by a doorway 4 ft. wide.^<br> (^ 10-9 ft. below datum,<br>The sills of the inner doors<br>are at about the same level<br>and average nearly 4 ft. wide.)<br> "
75,,9,03,29,-3.7,,Doorsill,,"The north-western corner of room 29 was partitioned off with walls of very rough build, and the two southern doors, each 3 ft. 6 ins. wide, were of later date.- (^ Their sills were an average level of — 3’7 ft.)",Floor Features,[?],Average,,,"The north-western corner of room 29<br>was partitioned off with walls of<br>very rough build, and the two<br>southern doors, each 3 ft. 6<br>ins. wide, were of later date.-<br>(^ Their sills were an average<br>level of — 3’7 ft.)"
76,,9,03,38,-12.9,,Doorsill,,The partially blocked-up doorway into room 35 from the west was 2 ft. 9 ins. wide with its sill at the level — 12-9 ft. A second entrance slightly further north was at the same level and 6 ins. wider.,Floor Features,Intermediate I,Exact Measure,partially blocked-up doorway,,The partially blocked-up doorway into room<br>35 from the west was 2<br>ft. 9 ins. wide with its<br>sill at the level — 12-9<br>ft. A second entrance slightly further<br>north was at the same level<br>and 6 ins. wider.
77,,9,03,,-12.7,,Doorsill,,"The House III of this sub-period is decidedly puzzling. There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The levels of the doorsills averaged 12.7 ft. the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum. A very peculiar feature is that three of these apparent doorways opened against the ends of jiartition walls that had been carried up from those of the previous period. At the eastern end of the house, of three doorways that opened into the narrow crevice between Houses I and III and can never really have functioned as doors, two had the ends of walls abutting against them.",Floor Features,Intermediate I,Average,,,"The House III of this sub-period<br>is decidedly puzzling. There were fifteen<br>doors in the outer walls, eight<br>of them opening into the court;<br>all but two of them were<br>blocked up when the walls of<br>the house were raised in the<br>following phase. The levels of the<br>doorsills averaged 12.7 ft. the highest<br>being at — 12 -.5 ft.<br>and the lowest — 13-2 ft.<br>below datum. A very peculiar feature<br>is that three of these apparent<br>doorways opened against the ends of<br>jiartition walls that had been carried<br>up from those of the previous<br>period. At the eastern end of<br>the house, of three doorways that<br>opened into the narrow crevice between<br>Houses I and III and can<br>never really have functioned as doors,<br>two had the ends of walls<br>abutting against them."
78,,9,03,,-12.5,,Doorsill,,"The House III of this sub-period is decidedly puzzling. There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The levels of the doorsills averaged 12.7 ft. the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum. A very peculiar feature is that three of these apparent doorways opened against the ends of jiartition walls that had been carried up from those of the previous period. At the eastern end of the house, of three doorways that opened into the narrow crevice between Houses I and III and can never really have functioned as doors, two had the ends of walls abutting against them.",Floor Features,Intermediate I,Relational Remark - Highest,,,"The House III of this sub-period<br>is decidedly puzzling. There were fifteen<br>doors in the outer walls, eight<br>of them opening into the court;<br>all but two of them were<br>blocked up when the walls of<br>the house were raised in the<br>following phase. The levels of the<br>doorsills averaged 12.7 ft. the highest<br>being at — 12 -.5 ft.<br>and the lowest — 13-2 ft.<br>below datum. A very peculiar feature<br>is that three of these apparent<br>doorways opened against the ends of<br>jiartition walls that had been carried<br>up from those of the previous<br>period. At the eastern end of<br>the house, of three doorways that<br>opened into the narrow crevice between<br>Houses I and III and can<br>never really have functioned as doors,<br>two had the ends of walls<br>abutting against them."
79,,9,03,,-13.2,,Doorsill,,"The House III of this sub-period is decidedly puzzling. There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The levels of the doorsills averaged 12.7 ft. the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum. A very peculiar feature is that three of these apparent doorways opened against the ends of jiartition walls that had been carried up from those of the previous period. At the eastern end of the house, of three doorways that opened into the narrow crevice between Houses I and III and can never really have functioned as doors, two had the ends of walls abutting against them.",Floor Features,Intermediate I,Relational Remark - Lowest,,,"The House III of this sub-period<br>is decidedly puzzling. There were fifteen<br>doors in the outer walls, eight<br>of them opening into the court;<br>all but two of them were<br>blocked up when the walls of<br>the house were raised in the<br>following phase. The levels of the<br>doorsills averaged 12.7 ft. the highest<br>being at — 12 -.5 ft.<br>and the lowest — 13-2 ft.<br>below datum. A very peculiar feature<br>is that three of these apparent<br>doorways opened against the ends of<br>jiartition walls that had been carried<br>up from those of the previous<br>period. At the eastern end of<br>the house, of three doorways that<br>opened into the narrow crevice between<br>Houses I and III and can<br>never really have functioned as doors,<br>two had the ends of walls<br>abutting against them."
80,,9,03,,-12.9,,Entrance,,The partially blocked-up doorway into room 35 from the west was 2 ft. 9 ins. wide with its sill at the level — 12-9 ft. A second entrance slightly further north was at the same level and 6 ins. wider.,Floor Features,Intermediate I,Relational Remark,,,The partially blocked-up doorway into room<br>35 from the west was 2<br>ft. 9 ins. wide with its<br>sill at the level — 12-9<br>ft. A second entrance slightly further<br>north was at the same level<br>and 6 ins. wider.
81,,9,03,35,-14.0,,Pavement,,"Of House III also but httle had survived, and the feature of most interest was a curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside.^ (3 The level of the highest part of this pavement was 14 ft. below datum.)  ",Floor Features,Intermediate I,Exact Measure (Highest),concave pavement,Water Platforms,"Of House III also but httle<br>had survived, and the feature of<br>most interest was a curiously concave<br>pavement in room 35, which was<br>so laid that the water collected<br>in its centre and ran down<br>a little open channel chiselled in<br>the floor (PI. XXXIX, c) and<br>out through a hole in the<br>south-eastern corner of the room to<br>the street outside.^ (3 The level<br>of the highest part of this<br>pavement was 14 ft. below datum.)<br> "
82,,9,03,38,-12.5,,Pavement,,In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.^ (* Its level was — 12-5 ft.)  ,Floor Features,Intermediate I,Exact Measure,,Water Platforms,In the foreground of the photograph<br>another paved floor (38) is seen<br>which drained into a jar close<br>to its south-eastern corner.^ (* Its<br>level was — 12-5 ft.) <br>
83,,9,03,,-17.9,,Doorsill,,"Of the House III of this period but little was left save a somewhat roughly paved chamber. 6 to 9 ins., E.-W., by 6 ft. 5 ins., X.-S., in its south-eastern corner, whichwasenteredfromthewestbyadoorway,3ft.4ins.wide,withitssill17• 9ft. below datum. The floor of this room sloped to the south-eastern corner Ar here the water ran through a small ajrerture in the Avail into the street drain outside.",Floor Features,Intermediate II,Exact Measure,,,"Of the House III of this<br>period but little was left save<br>a somewhat roughly paved chamber. 6<br>to 9 ins., E.-W., by 6<br>ft. 5 ins., X.-S., in its<br>south-eastern corner, whichwasenteredfromthewestbyadoorway,3ft.4ins.wide,withitssill17• 9ft. below datum.<br>The floor of this room sloped<br>to the south-eastern corner Ar here<br>the water ran through a small<br>ajrerture in the Avail into the<br>street drain outside."
84,,9,03,,-17.9,,Doorsill,,"Of the House III of this period but little was left save a somewhat roughly paved chamber. 6 to 9 ins., E.-W., by 6 ft. 5 ins., X.-S., in its south-eastern corner, which was entered from the west by a doorway, 3ft.4ins.wide, with its sill17• 9ft. below datum. The floor of this room sloped to the south-eastern corner Ar here the water ran through a small ajrerture in the Avail into the street drain outside.
",Floor Features,Intermediate II,Exact Measure,,,"Of the House III of this<br>period but little was left save<br>a somewhat roughly paved chamber. 6<br>to 9 ins., E.-W., by 6<br>ft. 5 ins., X.-S., in its<br>south-eastern corner, which was entered from<br>the west by a doorway, 3ft.4ins.wide,<br>with its sill17• 9ft. below datum.<br>The floor of this room sloped<br>to the south-eastern corner Ar here<br>the water ran through a small<br>ajrerture in the Avail into the<br>street drain outside.
"
85,,9,03,,-20.0,,Entrance,,"House III, which measures some 58 ft. by 41 ft. 4 ins.^ is so comjflete and full of interest as to be one of the show buildings of the site. In it one can picture the domestic life of the times more vividly than in almost any other house in the ancient city. The main facade of this house is to the west with its chief entrance, which is 3 ft. 11 ins. wide, just round the corner from Fore Lane along the southern side of the house (PI. XL, a). 
[...]

1 Owing to the batter of the external walls, it is diflacult to give definite measurements as the dimensions vary with the height at wliich they are taken. Thosp' giveu are at the level of the main entrance, i.e., 20 ft. below datum, which is practically that of all the interior door-sills,
[...]
It will be noticed that there were no less than four entrances into this build- ing, all at the same level and consequently of the same date, but of these the two from the lane to the south were carefully bricked up, apparently very shortlv aftertheyweremade. Icannotthinkthatitwasintendedtouseallthesedoor- ways at the same time ; and we must suppose that if this builcUng was a dwelling- house its owner was for some time undecided about the position of the entrance doorway, and that he only made up his mind at the last moment.^",Floor Features,Intermediate III,General Measure,,,"House III, which measures some 58<br>ft. by 41 ft. 4 ins.^<br>is so comjflete and full of<br>interest as to be one of<br>the show buildings of the site.<br>In it one can picture the<br>domestic life of the times more<br>vividly than in almost any other<br>house in the ancient city. The<br>main facade of this house is<br>to the west with its chief<br>entrance, which is 3 ft. 11<br>ins. wide, just round the corner<br>from Fore Lane along the southern<br>side of the house (PI. XL,<br>a). 
[...]

1 Owing to the batter<br>of the external walls, it is<br>diflacult to give definite measurements as<br>the dimensions vary with the height<br>at wliich they are taken. Thosp'<br>giveu are at the level of<br>the main entrance, i.e., 20 ft.<br>below datum, which is practically that<br>of all the interior door-sills,
[...]
It will<br>be noticed that there were no<br>less than four entrances into this<br>build- ing, all at the same<br>level and consequently of the same<br>date, but of these the two<br>from the lane to the south<br>were carefully bricked up, apparently very<br>shortlv aftertheyweremade. Icannotthinkthatitwasintendedtouseallthesedoor- ways at the<br>same time ; and we must<br>suppose that if this builcUng was<br>a dwelling- house its owner was<br>for some time undecided about the<br>position of the entrance doorway, and<br>that he only made up his<br>mind at the last moment.^"
86,,9,03,,-6.8,,Doorsill,,"The old-time 
western wall of House I apparently no longer existed, and a new doorway was
made in the raised eastern wall of House III, whose sill was 6 8 ft. below datum.",Floor Features,Late  II and I (b and a),Exact Measure,,,"The old-time 
western wall of House<br>I apparently no longer existed, and<br>a new doorway was
made in the<br>raised eastern wall of House III,<br>whose sill was 6 8 ft.<br>below datum."
87,,9,03,29,-4.4,,Doorsill,,"The House III of this period was fairly compact but very roughly built. It seems to have been entered from the passage 41 in the Late Ib Phase by a doorway in the eastern wall of room 29, which was subsequently blocked up. The sill of this door, which was 3 ft. 3 ins. wide, was at the level — 4.1 ft. and its jambs still stood 3 ft. 6 ins. high. It seems to have been replaced by a doorway immediately to the south, which was 3 ft. 8 ins. wide with its sill 4-4 ft. below datum. The north-western corner of room 29 was partitioned off with walls of very rough build, and the two southern doors, each 3 ft. 6 ins. wide, were of later date.- (^ Their sills were an average level of — 3’7 ft.)",Floor Features,Late Ia [?],Exact Measure,,,"The House III of this period<br>was fairly compact but very roughly<br>built. It seems to have been<br>entered from the passage 41 in<br>the Late Ib Phase by a<br>doorway in the eastern wall of<br>room 29, which was subsequently blocked<br>up. The sill of this door,<br>which was 3 ft. 3 ins.<br>wide, was at the level —<br>4.1 ft. and its jambs still<br>stood 3 ft. 6 ins. high.<br>It seems to have been replaced<br>by a doorway immediately to the<br>south, which was 3 ft. 8<br>ins. wide with its sill 4-4<br>ft. below datum. The north-western corner<br>of room 29 was partitioned off<br>with walls of very rough build,<br>and the two southern doors, each<br>3 ft. 6 ins. wide, were<br>of later date.- (^ Their sills<br>were an average level of —<br>3’7 ft.)"
88,,9,03,29,-4.1,,Doorsill,,"The House III of this period was fairly compact but very roughly built. It seems to have been entered from the passage 41 in the Late Ib Phase by a doorway in the eastern wall of room 29, which was subsequently blocked up. The sill of this door, which was 3 ft. 3 ins. wide, was at the level — 4.1 ft. and its jambs still stood 3 ft. 6 ins. high. It seems to have been replaced by a doorway immediately to the south, which was 3 ft. 8 ins. wide with its sill 4-4 ft. below datum. The north-western corner of room 29 was partitioned off with walls of very rough build, and the two southern doors, each 3 ft. 6 ins. wide, were of later date.-",Floor Features,Late Ib,Exact Measure,,,"The House III of this period<br>was fairly compact but very roughly<br>built. It seems to have been<br>entered from the passage 41 in<br>the Late Ib Phase by a<br>doorway in the eastern wall of<br>room 29, which was subsequently blocked<br>up. The sill of this door,<br>which was 3 ft. 3 ins.<br>wide, was at the level —<br>4.1 ft. and its jambs still<br>stood 3 ft. 6 ins. high.<br>It seems to have been replaced<br>by a doorway immediately to the<br>south, which was 3 ft. 8<br>ins. wide with its sill 4-4<br>ft. below datum. The north-western corner<br>of room 29 was partitioned off<br>with walls of very rough build,<br>and the two southern doors, each<br>3 ft. 6 ins. wide, were<br>of later date.-"
89,,9,03,,-4.9,,Doorsill,,"In the Late Ib Phase, another doorway with its sill 4-9 ft. below datum was
made from House III  it was, in fact, immediately above the door of the former
lock-up shop — — into room 15 of House VII, Block 9. This latter may still have
been a lane, though it is more probable that it had already been built over. ",Floor Features,Late Ib,Exact Measure,,,"In the Late Ib Phase, another<br>doorway with its sill 4-9 ft.<br>below datum was
made from House III<br> it was, in fact, immediately<br>above the door of the former
lock-up<br>shop — — into room 15<br>of House VII, Block 9. This<br>latter may still have
been a lane,<br>though it is more probable that<br>it had already been built over.<br>"
90,,9,03,,-10.9,,Channel,,"Of House III  practically nothing was left save its south-eastern corner, a little channel 5 ins. wide by 8-5 ins. deep,- served to carry off the drainage o this house and also of House I in Block 8.    ( *The bed of this channel was 10-9 ft. below datum.) ",Floor Features,Late III,Exact Measure,,Drainage,"Of House III  practically nothing<br>was left save its south-eastern corner,<br>a little channel 5 ins. wide<br>by 8-5 ins. deep,- served to<br>carry off the drainage o this<br>house and also of House I<br>in Block 8.   <br>( *The bed of this channel<br>was 10-9 ft. below datum.) "
91,,9,03,,,,Entrance,,"For some unknown reason. House III seems to have been spared ; it still preserved its outward form and the arrangement of its rooms followed the same plan as in the three previous occupations. The house was entered as through- out the Intermediate Period at the S. W. corner. AU the other unexplained and apparently unnecessary doorways had been wholly or partially bricked up, and in the latter case evidently served as niches or cupboards. Three verj^ curious holes in the eastern waU of room 66, each some 7-5 ins. high by 8 ins. wide by 1 ft. 11 ins. deep, present a problem.^ What was their purpose, unless they held the supports of a loom or other mechanical apparatus ?",Floor Features,Late III,,,,"For some unknown reason. House III<br>seems to have been spared ;<br>it still preserved its outward form<br>and the arrangement of its rooms<br>followed the same plan as in<br>the three previous occupations. The house<br>was entered as through- out the<br>Intermediate Period at the S. W.<br>corner. AU the other unexplained and<br>apparently unnecessary doorways had been wholly<br>or partially bricked up, and in<br>the latter case evidently served as<br>niches or cupboards. Three verj^ curious<br>holes in the eastern waU of<br>room 66, each some 7-5 ins.<br>high by 8 ins. wide by<br>1 ft. 11 ins. deep, present<br>a problem.^ What was their purpose,<br>unless they held the supports of<br>a loom or other mechanical apparatus<br>?"
92,,9,04,,-16.5,,Doorsill,,"Of House IV little was left save the well with the masonry round it, and part
of the northern and southern walls. The three openings in the southern wall were now bricked up on the southern side and converted into open niches or cup- boards (PI. XL, c). At the same time the sill of the doorway between the court- yard and the house was raised to 16-5 ft. below datum.",Floor Features,Intermediate II,General Measure,,,"Of House IV little was left<br>save the well with the masonry<br>round it, and part
of the northern<br>and southern walls. The three openings<br>in the southern wall were now<br>bricked up on the southern side<br>and converted into open niches or<br>cup- boards (PI. XL, c). At<br>the same time the sill of<br>the doorway between the court- yard<br>and the house was raised to<br>16-5 ft. below datum."
93,,9,04,"74, 82",-21.4,,Doorsill,,"The doorway from the court 74, 82 to the rooms that once existed to the west is 4ft. 3ins. wide. It was originally 5ft. 4ins. in width and appears to have been narrowed almost immediately, for the added brickwork is bonded to a height of twelve courses above the sill which is 21-4 ft. below datum, he., to the level of the niches in the adjacent wall. In the Intermediate II Phase this doorway was re-used at the narrower width. ",Floor Features,Intermediate III [& II?],General Measure,,,"The doorway from the court 74,<br>82 to the rooms that once<br>existed to the west is 4ft.<br>3ins. wide. It was originally 5ft.<br>4ins. in width and appears to<br>have been narrowed almost immediately, for<br>the added brickwork is bonded to<br>a height of twelve courses above<br>the sill which is 21-4 ft.<br>below datum, he., to the level<br>of the niches in the adjacent<br>wall. In the Intermediate II Phase<br>this doorway was re-used at the<br>narrower width. "
94,,9,04,04,-4.3,,Pavement,,"In Late Ib days, when House II, IV was rebuilt it was divided into two, and House IV thence onwards was serv’ed by a small pavement in the south- eastern corner of room 4d. ( 1 At a level of 4-3 ft. below datum)",Floor Features,Late Ib,Exact Measure,,Water Platforms,"In Late Ib days, when House<br>II, IV was rebuilt it was<br>divided into two, and House IV<br>thence onwards was serv’ed by a<br>small pavement in the south- eastern<br>corner of room 4d. ( 1<br>At a level of 4-3 ft.<br>below datum)"
95,,9,04,,-6.9,,Doorsill,,"The large new House IV was apparently entered from the south by a door- way into room 84, the apparent doorway on the northern side of the house being in reality a break in the wall. The central space (81), which measured 20 ft. 6 ins. by 15 ft. 3 ins., was probably the new courtyard in place of the one built over. The eastern jamb of the doorway leading from it into room 83 had a rebate, 7x9 ins., a very unusual feature in the doorways of Mohenjo-daro. The sills of aU the doors from the courtyard were some 6-9 ft. below datum and, therefore, of Late II date.",Floor Features,Late II,General Measure,,,"The large new House IV was<br>apparently entered from the south by<br>a door- way into room 84,<br>the apparent doorway on the northern<br>side of the house being in<br>reality a break in the wall.<br>The central space (81), which measured<br>20 ft. 6 ins. by 15<br>ft. 3 ins., was probably the<br>new courtyard in place of the<br>one built over. The eastern jamb<br>of the doorway leading from it<br>into room 83 had a rebate,<br>7x9 ins., a very unusual feature<br>in the doorways of Mohenjo-daro. The<br>sills of aU the doors from<br>the courtyard were some 6-9 ft.<br>below datum and, therefore, of Late<br>II date."
